,gender,customer_type,age,type_of_travel,flight_distance,inflight_wifi_service,departure/arrival_time_convenient,ease_of_online_booking,food_and_drink,inflight_entertainment,baggage_handling,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
358,Male,Loyal Customer,51,Business travel,83,0,4,3,4,4,4,4,0,0,Neutral
366,Male,Loyal Customer,44,Business travel,84,5,5,5,5,5,4,3,3,7,Satisfied
367,Male,Loyal Customer,35,Personal Travel,84,3,2,3,4,4,4,4,0,0,Dissatisfied
372,Male,Loyal Customer,60,Business travel,84,2,2,1,5,5,5,5,46,57,Satisfied
374,Female,Loyal Customer,48,Business travel,84,0,4,0,2,4,5,5,0,0,Satisfied
376,Male,Loyal Customer,49,Business travel,84,4,4,3,1,5,3,3,0,0,Satisfied
383,Male,Loyal Customer,27,Business travel,84,5,5,5,5,5,1,5,0,0,Satisfied
386,Female,Loyal Customer,44,Business travel,84,3,3,3,5,5,4,2,42,29,Satisfied
398,Male,Loyal Customer,39,Business travel,84,0,3,0,5,2,3,4,0,0,Satisfied
399,Male,Loyal Customer,45,Business travel,84,4,4,3,4,4,4,4,0,0,Neutral
404,Male,Loyal Customer,39,Business travel,86,4,3,4,5,5,3,3,0,0,Satisfied
407,Female,Loyal Customer,59,Personal Travel,86,4,4,3,4,4,4,4,0,0,Neutral
425,Female,Loyal Customer,39,Business travel,86,3,1,3,4,4,4,4,0,0,Neutral
431,Male,Loyal Customer,51,Business travel,86,3,3,4,2,1,3,4,21,16,Dissatisfied
435,Female,Loyal Customer,47,Business travel,86,1,1,4,1,5,4,4,43,39,Satisfied
437,Female,Loyal Customer,42,Business travel,86,0,5,0,3,2,2,5,0,0,Satisfied
438,Female,Loyal Customer,57,Business travel,86,1,1,1,1,5,3,5,0,0,Satisfied
454,Male,Loyal Customer,65,Personal Travel,86,1,5,1,1,2,2,4,114,120,Dissatisfied
455,Male,Loyal Customer,42,Business travel,86,2,4,4,3,3,2,4,34,63,Dissatisfied
467,Female,Loyal Customer,33,Business travel,86,4,4,4,5,4,4,4,23,27,Satisfied
469,Female,Disloyal Customer,40,Business travel,86,1,1,3,4,4,4,4,0,0,Neutral
470,Male,Loyal Customer,53,Business travel,86,4,5,5,2,1,4,2,0,0,Dissatisfied
483,Male,Loyal Customer,67,Personal Travel,86,3,4,3,4,3,3,3,0,0,Dissatisfied
490,Female,Loyal Customer,51,Business travel,86,4,4,3,4,4,4,4,0,0,Neutral
492,Female,Loyal Customer,59,Business travel,86,0,4,0,2,1,1,3,8,3,Satisfied
501,Male,Loyal Customer,39,Business travel,86,5,5,5,2,5,4,4,0,0,Satisfied
502,Female,Loyal Customer,32,Business travel,86,5,5,5,4,4,5,4,0,14,Satisfied
503,Female,Loyal Customer,39,Business travel,86,1,4,4,5,2,1,2,0,22,Dissatisfied
504,Male,Loyal Customer,35,Business travel,86,3,2,2,2,1,3,3,0,0,Dissatisfied
507,Female,Loyal Customer,57,Business travel,86,0,5,0,4,1,1,3,20,28,Satisfied
508,Female,Loyal Customer,66,Personal Travel,86,3,5,3,3,5,5,4,0,0,Dissatisfied
512,Male,Loyal Customer,46,Business travel,86,1,1,1,5,5,1,2,0,0,Satisfied
521,Male,Loyal Customer,67,Personal Travel,86,4,4,4,5,4,4,4,0,0,Dissatisfied
532,Female,Loyal Customer,64,Business travel,86,1,2,2,1,2,1,3,0,1,Dissatisfied
539,Male,Loyal Customer,7,Personal Travel,,3,4,3,4,4,4,4,0,0,Neutral
548,Male,Loyal Customer,39,Business travel,86,4,1,1,2,1,4,3,20,12,Dissatisfied
553,Male,Loyal Customer,49,Personal Travel,86,5,2,3,4,4,4,4,0,0,Neutral
558,Male,Disloyal Customer,21,Business travel,89,4,0,5,3,3,5,3,0,0,Satisfied
560,Female,Loyal Customer,39,Business travel,89,4,3,3,3,2,4,3,0,0,Dissatisfied
561,Male,Loyal Customer,54,Business travel,89,2,3,3,2,2,2,4,0,0,Dissatisfied
562,Female,Loyal Customer,60,Business travel,89,1,1,4,3,4,4,5,0,0,Satisfied
563,Male,Disloyal Customer,27,Business travel,89,2,2,3,4,4,4,4,0,0,Neutral
568,Female,Loyal Customer,54,Business travel,89,4,1,4,4,5,5,5,5,0,Satisfied
575,Male,Loyal Customer,49,Business travel,89,2,2,2,3,4,4,3,0,0,Satisfied
580,Male,Loyal Customer,30,Business travel,,4,5,3,4,4,5,4,10,0,Satisfied
584,Male,Loyal Customer,55,Business travel,89,1,1,1,2,3,3,2,49,59,Satisfied
587,Female,Loyal Customer,27,Business travel,89,4,4,4,4,4,4,4,0,0,Satisfied
594,Male,Loyal Customer,35,Business travel,89,2,3,3,4,1,2,4,0,2,Dissatisfied
595,Male,Loyal Customer,56,Business travel,89,3,4,3,4,4,4,4,0,0,Neutral
597,Female,Disloyal Customer,37,Business travel,89,4,4,4,3,3,4,3,0,0,Dissatisfied
600,Female,Loyal Customer,42,Business travel,89,0,4,3,4,4,4,4,0,0,Neutral
601,Male,Loyal Customer,38,Business travel,89,5,5,3,3,5,4,3,0,0,Satisfied
602,Female,Loyal Customer,39,Business travel,89,1,1,1,4,4,4,4,0,0,Satisfied
603,Male,Loyal Customer,54,Business travel,89,4,3,4,1,5,4,3,76,70,Satisfied
605,Female,Loyal Customer,36,Business travel,89,3,3,3,1,5,3,3,0,0,Satisfied
609,Female,Loyal Customer,46,Business travel,89,0,5,0,5,1,1,4,0,0,Satisfied
613,Female,Loyal Customer,56,Business travel,89,1,1,1,4,4,4,4,0,0,Satisfied
618,Female,Loyal Customer,25,Business travel,89,4,5,5,0,0,4,0,0,0,Satisfied
621,Female,Loyal Customer,38,Business travel,89,5,1,5,5,4,5,5,0,0,Satisfied
622,Male,Disloyal Customer,39,Business travel,89,5,0,3,4,4,4,4,0,0,Neutral
625,Female,Disloyal Customer,33,Business travel,89,1,1,1,2,2,5,2,0,0,Dissatisfied
626,Male,Loyal Customer,57,Business travel,89,2,2,2,2,5,4,4,5,4,Satisfied
628,Female,Loyal Customer,49,Business travel,89,0,4,0,5,5,5,5,0,0,Satisfied
630,Female,Loyal Customer,49,Business travel,89,2,3,4,2,3,2,2,37,30,Dissatisfied
631,Male,Loyal Customer,38,Business travel,89,5,5,3,4,4,4,4,0,0,Neutral
634,Male,Loyal Customer,57,Business travel,89,2,4,4,4,1,2,4,0,19,Dissatisfied
644,Male,Loyal Customer,36,Business travel,89,4,4,4,3,5,3,2,0,4,Satisfied
646,Male,Loyal Customer,15,Personal Travel,89,3,5,3,4,4,5,4,0,0,Dissatisfied
647,Male,Loyal Customer,49,Business travel,89,5,5,5,3,5,5,5,0,0,Satisfied
654,Male,Loyal Customer,39,Business travel,89,2,2,3,4,4,4,4,0,0,Neutral
659,Male,Disloyal Customer,26,Business travel,89,4,3,4,4,4,3,4,29,25,Dissatisfied
660,Male,Loyal Customer,49,Business travel,89,0,4,0,3,3,3,5,21,15,Satisfied
667,Female,Disloyal Customer,47,Business travel,89,2,2,2,4,4,4,4,0,0,Dissatisfied
668,Male,Loyal Customer,57,Business travel,89,0,4,0,3,4,4,4,0,0,Satisfied
671,Male,Loyal Customer,42,Business travel,89,2,5,5,1,3,2,3,0,0,Dissatisfied
678,Male,Loyal Customer,36,Business travel,89,4,4,4,5,4,5,5,134,129,Satisfied
680,Male,Disloyal Customer,35,Business travel,89,3,3,3,3,3,4,3,0,0,Dissatisfied
684,Female,Disloyal Customer,39,Business travel,89,2,2,2,4,4,4,4,0,44,Satisfied
685,Male,Disloyal Customer,62,Business travel,89,3,3,3,4,4,3,4,13,9,Dissatisfied
691,Male,Loyal Customer,33,Business travel,89,2,3,3,2,2,4,2,0,0,Dissatisfied
696,Male,Loyal Customer,34,Business travel,89,5,5,3,4,4,4,4,0,0,Neutral
697,Female,Disloyal Customer,25,Business travel,89,1,3,1,2,2,4,2,0,0,Satisfied
700,Male,Loyal Customer,50,Personal Travel,89,4,4,0,2,4,4,3,23,14,Dissatisfied
703,Male,Loyal Customer,59,Business travel,89,2,3,3,4,4,2,4,0,0,Dissatisfied
704,Male,Disloyal Customer,55,Business travel,89,2,2,2,3,3,4,3,0,0,Satisfied
708,Male,Disloyal Customer,39,Business travel,89,4,4,4,4,4,3,4,0,0,Dissatisfied
709,Female,Loyal Customer,50,Business travel,89,1,1,1,5,4,3,3,28,19,Satisfied
710,Female,Loyal Customer,52,Business travel,89,2,2,3,4,4,4,4,0,0,Neutral
711,Male,Loyal Customer,48,Business travel,89,4,4,4,4,4,4,5,19,16,Satisfied
728,Female,Disloyal Customer,27,Business travel,89,3,3,3,3,3,4,3,57,52,Dissatisfied
736,Male,Loyal Customer,38,Business travel,89,4,1,1,3,1,4,4,13,0,Dissatisfied
737,Female,Loyal Customer,49,Business travel,90,4,4,2,3,4,4,3,0,0,Satisfied
739,Female,Loyal Customer,69,Personal Travel,90,3,3,3,3,3,3,2,0,25,Dissatisfied
740,Female,Loyal Customer,41,Business travel,90,4,1,4,5,3,5,5,64,210,Satisfied
742,Female,Loyal Customer,42,Business travel,90,3,2,2,5,4,3,4,0,0,Dissatisfied
749,Female,Disloyal Customer,47,Business travel,90,1,2,3,4,4,4,4,0,0,Neutral
752,Male,Loyal Customer,66,Personal Travel,90,2,4,2,2,3,3,4,0,0,Dissatisfied
753,Female,Loyal Customer,46,Personal Travel,90,2,5,2,5,5,5,4,0,25,Dissatisfied
754,Male,Loyal Customer,48,Business travel,90,3,3,3,3,5,4,5,0,4,Satisfied
762,Female,Loyal Customer,37,Personal Travel,95,2,3,2,1,5,5,5,0,0,Dissatisfied
772,Male,Loyal Customer,51,Business travel,95,5,5,5,1,5,5,5,0,0,Satisfied
773,Female,Loyal Customer,17,Business travel,95,2,2,4,4,4,3,4,0,0,Satisfied
776,Male,Loyal Customer,46,Business travel,95,1,1,4,3,5,4,3,1,0,Satisfied
778,Male,Loyal Customer,54,Business travel,95,4,4,4,2,4,5,4,2,0,Satisfied
781,Male,Loyal Customer,30,Business travel,,4,4,3,4,3,4,3,10,0,Satisfied
783,Male,Disloyal Customer,22,Business travel,95,5,0,3,4,4,4,4,0,0,Neutral
784,Male,Loyal Customer,50,Business travel,95,1,3,3,4,4,4,3,455,0,Dissatisfied
789,Female,Disloyal Customer,40,Business travel,95,5,5,5,2,2,2,2,3,16,Satisfied
797,Female,Disloyal Customer,36,Business travel,96,3,3,3,2,2,4,2,0,0,Dissatisfied
799,Female,Disloyal Customer,37,Business travel,96,4,4,4,4,4,4,4,123,124,Satisfied
800,Female,Loyal Customer,59,Business travel,96,3,3,3,3,4,4,4,0,0,Satisfied
803,Male,Loyal Customer,62,Business travel,96,2,2,2,3,5,4,2,0,0,Satisfied
809,Female,Disloyal Customer,25,Business travel,96,5,0,5,5,5,5,5,0,0,Satisfied
810,Male,Disloyal Customer,38,Business travel,96,4,4,4,2,2,4,2,0,0,Satisfied
811,Female,Disloyal Customer,35,Business travel,96,3,3,3,2,2,4,2,0,15,Dissatisfied
813,Female,Disloyal Customer,37,Business travel,96,2,2,2,2,2,4,2,0,0,Dissatisfied
816,Male,Disloyal Customer,33,Business travel,96,3,3,3,4,4,4,4,0,0,Neutral
818,Female,Loyal Customer,50,Personal Travel,96,4,4,0,3,3,3,4,0,3,Satisfied
826,Male,Loyal Customer,40,Business travel,98,1,1,1,5,5,4,5,0,0,Satisfied
830,Female,Loyal Customer,46,Business travel,100,3,3,3,3,4,5,5,0,0,Satisfied
832,Female,Loyal Customer,48,Business travel,100,5,5,5,4,4,4,5,0,0,Satisfied
837,Female,Disloyal Customer,36,Business travel,100,4,4,4,2,2,4,2,122,119,Dissatisfied
839,Male,Loyal Customer,38,Business travel,100,5,5,5,2,4,4,4,0,0,Satisfied
845,Male,Loyal Customer,51,Business travel,100,0,5,0,5,4,4,5,0,0,Satisfied
846,Male,Loyal Customer,57,Business travel,100,0,4,0,4,5,1,5,0,0,Satisfied
848,Male,Disloyal Customer,0,Business travel,101,2,1,1,2,2,3,2,0,0,Neutral
852,Male,Loyal Customer,43,Business travel,101,0,4,3,4,4,4,4,0,0,Neutral
863,Male,Loyal Customer,30,Business travel,,0,5,3,4,4,4,4,0,0,Neutral
864,Female,Loyal Customer,51,Business travel,101,0,4,3,4,4,4,4,0,0,Neutral
870,Male,Loyal Customer,51,Business travel,101,0,3,1,5,3,3,5,0,5,Satisfied
873,Female,Loyal Customer,66,Business travel,101,2,3,3,4,4,4,4,0,0,Neutral
878,Female,Loyal Customer,43,Business travel,101,1,1,1,4,4,3,4,5,13,Satisfied
882,Male,Loyal Customer,35,Business travel,101,3,3,3,5,4,3,3,0,0,Satisfied
888,Male,Loyal Customer,42,Business travel,101,0,3,3,4,4,4,4,0,0,Neutral
892,Female,Loyal Customer,41,Business travel,101,2,2,2,4,5,4,5,0,0,Satisfied
900,Male,Loyal Customer,32,Business travel,101,3,2,3,4,4,3,4,0,1,Satisfied
906,Female,Loyal Customer,43,Business travel,101,3,3,3,5,4,4,5,0,0,Satisfied
913,Male,Loyal Customer,50,Business travel,101,1,4,1,1,4,5,4,4,16,Satisfied
914,Female,Disloyal Customer,45,Business travel,101,2,2,2,5,5,5,5,0,0,Dissatisfied
918,Male,Loyal Customer,48,Business travel,101,3,5,5,2,1,3,2,0,0,Dissatisfied
919,Male,Loyal Customer,37,Business travel,101,4,4,4,2,5,3,5,0,0,Satisfied
920,Female,Loyal Customer,65,Business travel,101,1,1,1,2,3,1,3,0,0,Dissatisfied
925,Female,Disloyal Customer,22,Business travel,101,3,2,3,5,5,1,5,0,0,Dissatisfied
926,Male,Loyal Customer,21,Personal Travel,101,2,4,3,4,4,4,4,0,0,Neutral
928,Male,Loyal Customer,56,Personal Travel,101,2,4,2,4,4,4,5,0,0,Dissatisfied
929,Male,Loyal Customer,47,Personal Travel,101,3,3,3,4,4,4,4,0,0,Neutral
938,Female,Loyal Customer,40,Business travel,101,2,5,3,4,4,4,4,0,0,Neutral
942,Male,Loyal Customer,56,Personal Travel,101,3,3,3,2,4,4,3,0,0,Dissatisfied
944,Female,Loyal Customer,49,Personal Travel,101,4,5,4,5,3,3,4,0,0,Satisfied
951,Female,Loyal Customer,44,Business travel,101,4,4,4,5,5,5,3,0,0,Satisfied
956,Female,Loyal Customer,68,Business travel,101,2,2,2,2,4,5,4,0,3,Satisfied
972,Female,Loyal Customer,17,Business travel,101,2,5,5,2,2,4,2,0,0,Dissatisfied
976,Male,Loyal Customer,43,Business travel,101,4,4,4,3,4,4,5,0,0,Satisfied
986,Female,Disloyal Customer,26,Business travel,101,2,5,2,4,4,4,4,0,2,Dissatisfied
994,Female,Loyal Customer,38,Business travel,101,5,5,5,3,4,5,2,5,9,Satisfied
1005,Female,Loyal Customer,70,Personal Travel,101,5,5,0,1,2,2,4,0,0,Satisfied
1016,Female,Loyal Customer,36,Business travel,101,5,5,5,5,4,4,3,0,0,Satisfied
1023,Male,Loyal Customer,62,Business travel,101,1,1,1,4,4,3,2,0,0,Satisfied
1034,Female,Loyal Customer,49,Business travel,101,1,4,4,3,2,1,3,11,14,Dissatisfied
1036,Male,Loyal Customer,17,Personal Travel,101,0,4,3,4,4,4,4,0,0,Neutral
1052,Male,Loyal Customer,39,Business travel,101,2,2,5,5,5,3,4,0,0,Satisfied
1053,Female,Disloyal Customer,27,Business travel,101,4,4,4,4,4,4,4,0,0,Satisfied
1068,Male,Loyal Customer,58,Business travel,101,5,5,5,4,4,4,5,0,5,Satisfied
1069,Female,Loyal Customer,45,Business travel,101,3,3,3,5,5,5,4,0,0,Satisfied
1074,Female,Loyal Customer,34,Business travel,101,3,4,4,4,3,3,4,35,42,Dissatisfied
1076,Male,Loyal Customer,38,Business travel,101,5,5,5,4,5,4,2,0,0,Satisfied
1078,Female,Loyal Customer,11,Personal Travel,101,1,5,1,2,2,4,2,0,0,Dissatisfied
1079,Male,Loyal Customer,34,Business travel,101,0,5,3,4,4,4,4,0,0,Neutral
1080,Male,Disloyal Customer,57,Business travel,101,2,2,2,3,3,5,3,13,21,Dissatisfied
1087,Male,Loyal Customer,46,Business travel,101,0,4,0,3,3,3,5,0,0,Satisfied
1097,Female,Loyal Customer,67,Personal Travel,101,3,4,3,4,2,2,4,0,4,Dissatisfied
1098,Female,Disloyal Customer,22,Business travel,101,4,4,4,5,5,5,5,0,0,Satisfied
1109,Female,Loyal Customer,36,Business travel,101,2,2,3,5,4,2,4,6,22,Dissatisfied
1116,Male,Loyal Customer,37,Business travel,101,1,1,1,1,4,4,2,0,0,Satisfied
1118,Female,Loyal Customer,36,Business travel,101,3,3,4,5,4,4,3,0,0,Satisfied
1119,Female,Loyal Customer,62,Business travel,101,2,2,3,4,4,4,4,0,0,Neutral
1122,Female,Disloyal Customer,22,Business travel,101,4,1,4,5,5,3,5,0,0,Dissatisfied
1126,Female,Loyal Customer,41,Business travel,101,3,3,3,3,4,4,2,0,3,Satisfied
1134,Male,Disloyal Customer,33,Business travel,101,2,2,2,4,4,3,4,0,0,Dissatisfied
1144,Female,Loyal Customer,55,Personal Travel,101,1,3,1,2,3,3,2,0,0,Dissatisfied
1145,Female,Loyal Customer,57,Business travel,101,1,1,1,3,5,5,5,0,0,Satisfied
1148,Male,Loyal Customer,36,Business travel,101,2,2,3,4,4,4,4,0,0,Neutral
1152,Male,Loyal Customer,47,Business travel,101,2,3,3,3,1,2,3,0,0,Dissatisfied
1167,Male,Loyal Customer,47,Business travel,102,2,2,2,5,4,4,3,0,1,Satisfied
1183,Male,Loyal Customer,39,Business travel,102,0,5,0,2,5,5,3,6,4,Satisfied
1189,Male,Loyal Customer,60,Business travel,102,0,4,0,4,3,3,4,0,0,Satisfied
1190,Female,Disloyal Customer,44,Business travel,102,4,3,3,4,4,4,4,0,0,Satisfied
1192,Male,Disloyal Customer,36,Business travel,102,2,2,2,5,5,5,5,35,28,Dissatisfied
1201,Male,Loyal Customer,60,Business travel,102,1,1,5,2,5,5,3,0,0,Satisfied
1206,Female,Loyal Customer,34,Business travel,102,5,5,5,2,5,3,5,0,4,Satisfied
1208,Female,Loyal Customer,49,Business travel,102,4,4,4,5,3,5,4,0,0,Satisfied
1215,Female,Disloyal Customer,27,Business travel,102,2,2,3,4,4,4,4,0,0,Neutral
1217,Female,Loyal Customer,48,Business travel,102,3,3,3,5,4,4,3,0,0,Satisfied
1220,Male,Loyal Customer,11,Personal Travel,102,1,4,1,5,5,5,5,0,0,Dissatisfied
1221,Female,Loyal Customer,58,Business travel,102,2,2,2,4,5,4,4,0,0,Satisfied
1227,Male,Disloyal Customer,26,Business travel,102,0,0,0,4,4,5,4,0,0,Satisfied
1228,Female,Loyal Customer,55,Business travel,102,4,4,4,5,5,4,3,7,7,Satisfied
1231,Female,Loyal Customer,41,Business travel,102,5,5,5,3,5,4,5,0,0,Satisfied
1235,Male,Loyal Customer,69,Business travel,102,1,1,3,4,4,4,4,0,0,Neutral
1236,Female,Disloyal Customer,40,Business travel,102,3,3,3,5,5,2,5,26,33,Dissatisfied
1243,Male,Loyal Customer,24,Business travel,102,3,3,3,4,4,4,4,0,0,Neutral
1252,Female,Loyal Customer,41,Business travel,102,1,5,5,2,2,1,4,0,0,Dissatisfied
1255,Male,Loyal Customer,48,Business travel,102,0,4,0,5,2,2,3,0,0,Satisfied
1268,Female,Loyal Customer,47,Personal Travel,102,2,2,2,1,1,1,4,0,0,Dissatisfied
1269,Female,Loyal Customer,52,Business travel,102,5,5,5,3,5,5,4,26,21,Satisfied
1274,Female,Disloyal Customer,40,Business travel,102,4,4,4,2,2,5,2,5,4,Dissatisfied
1275,Female,Loyal Customer,22,Business travel,102,2,2,2,4,4,2,4,2,0,Satisfied
1283,Female,Disloyal Customer,22,Business travel,102,2,4,2,2,2,4,2,5,14,Dissatisfied
1287,Male,Loyal Customer,46,Business travel,102,1,1,1,5,4,4,3,101,98,Satisfied
1291,Male,Loyal Customer,43,Business travel,102,1,1,1,5,5,4,5,0,0,Satisfied
1305,Female,Loyal Customer,46,Business travel,102,2,2,2,3,5,4,3,0,0,Satisfied
1306,Male,Loyal Customer,63,Business travel,102,1,1,1,2,4,5,3,0,0,Satisfied
1307,Male,Loyal Customer,51,Business travel,102,1,1,1,3,5,4,5,0,0,Satisfied
1310,Female,Disloyal Customer,33,Business travel,102,1,1,1,2,2,4,2,8,43,Dissatisfied
1316,Female,Loyal Customer,39,Business travel,102,0,3,0,5,5,2,5,0,0,Satisfied
